file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,98,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,0
style.css,99,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,6
style.css,100,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,21
style.css,101,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,15
style.css,102,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,20
style.css,103,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,19
style.css,104,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,23
style.css,105,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,14
style.css,106,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,26
style.css,107,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,62
style.css,108,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,18
style.css,109,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,36
style.css,110,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,0
style.css,111,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,0
style.css,112,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,12
style.css,113,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,40
style.css,114,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,26
style.css,115,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,0
style.css,116,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,0
style.css,117,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,14
style.css,118,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,40
style.css,119,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,71
style.css,120,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,49
style.css,121,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,0
style.css,122,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,0
style.css,123,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,18
style.css,124,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,13
style.css,125,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,21
style.css,126,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,18
style.css,127,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,0
style.css,128,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,0
style.css,129,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,56
style.css,130,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,24
style.css,131,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,68
style.css,132,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,0
style.css,133,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,0
style.css,134,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,17
style.css,135,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,5
style.css,136,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,44
style.css,137,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,53
style.css,138,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,41
style.css,139,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,46
style.css,140,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,40
style.css,141,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,55
style.css,142,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,65
style.css,143,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,0
style.css,144,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,0
style.css,145,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,24
style.css,146,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,31
style.css,147,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,46
style.css,148,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,51
style.css,149,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,65
style.css,150,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,57
style.css,151,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,0
style.css,152,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,0
style.css,153,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,32
style.css,154,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,16
style.css,155,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,44
style.css,156,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,48
style.css,157,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,49
style.css,158,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,49
style.css,159,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,68
style.css,160,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,0
style.css,161,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,0
style.css,162,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,19
style.css,163,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,7
style.css,164,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,40
style.css,165,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,56
style.css,166,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,42
style.css,167,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,33
style.css,168,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,40
style.css,169,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,45
style.css,170,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,46
style.css,171,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,18
style.css,172,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,38
style.css,173,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,0
style.css,174,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,0
style.css,175,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,24
style.css,176,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,13
style.css,177,css,06172a81,joshosofsky-ucsd,2025-01-23,23:03:46,-08:00,2025-01-23T23:03:46-08:00,0,70
style.css,178,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,0
style.css,179,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,0
